01/02/2024 | Shipment Received | 123456 | London | Electronics
01/02/2024 | Shipment Dispatched | 789012 | Chicago | Clothing
02/02/2024 | Shipment Delivered | 345678 | Boston | Books
03/02/2024 | Shipment Received | 234567 | Paris | Furniture
03/02/2024 | Shipment Dispatched | 901234 | Amsterdam | Appliances
04/02/2024 | Shipment Delivered | 567890 | London | Stationary
05/02/2024 | Shipment Received | 456789 | Chicago | Electronics
06/02/2024 | Shipment Dispatched | 345677 | Boston | Clothing
07/02/2024 | Shipment Delivered | 789013 | Paris | Books
08/02/2024 | Shipment Received | 901235 | Amsterdam | Furniture
09/02/2024 | Shipment Dispatched | 234568 | London | Clothing
10/02/2024 | Shipment Delivered | 123457 | Chicago | Stationary
11/02/2024 | Shipment Received | 567894 | Boston | Electronics
12/02/2024 | Shipment Dispatched | 456783 | Paris | Clothing
12/02/2024 | Shipment Delivered | 345672 | Amsterdam | Books
13/02/2024 | Shipment Received | 789010 | London | Furniture
14/02/2024 | Shipment Dispatched | 901236 | Chicago | Appliances
15/02/2024 | Shipment Delivered | 234569 | Boston | Stationary
16/02/2024 | Shipment Received | 123458 | Paris | Electronics
17/02/2024 | Shipment Dispatched | 567895 | Amsterdam | Clothing
25/01/2024 | Shipment Delivered | 236456 | Amsterdam | Electronics
24/01/2024 | Shipment Received | 454545 | Berlin | Clothing
